date,country,location_type,mojo_integration,website_visitors,service_page_views,contact_form_views,contact_form_submits,qualified_leads,project_discussions,contracts_signed
2023-01-01,Germany,Primary Market,True,966,673,327,109,53,28,10
2023-01-01,Netherlands,Primary Market,True,1460,666,232,97,58,38,9
2023-01-01,England,Primary Market,True,971,443,105,23,13,8,3
2023-01-01,North America,Expansion Market,False,2120,1375,385,77,38,14,5
2023-01-01,Australia,Expansion Market,False,3298,1514,666,217,86,29,6
2023-01-01,Croatia,Primary Market,True,1914,1109,423,209,80,44,17
2023-01-02,Germany,Primary Market,True,558,358,155,70,37,11,3
2023-01-02,Netherlands,Primary Market,True,775,395,94,46,22,13,3
2023-01-02,England,Primary Market,True,1513,957,447,114,38,22,6
2023-01-02,North America,Expansion Market,False,2729,1684,578,225,116,46,9
2023-01-02,Australia,Expansion Market,False,2415,1442,661,167,67,45,22
2023-01-02,Croatia,Primary Market,True,2479,1434,487,209,115,52,14
2023-01-03,Germany,Primary Market,True,1091,675,199,93,65,20,7
2023-01-03,Netherlands,Primary Market,True,3720,2177,592,187,102,54,20
2023-01-03,England,Primary Market,True,1530,833,195,90,33,16,6
2023-01-03,North America,Expansion Market,False,2713,1305,522,139,57,26,11
2023-01-03,Australia,Expansion Market,False,3074,1375,686,151,72,49,22
2023-01-03,Croatia,Primary Market,True,3067,1823,543,150,64,43,14
2023-01-04,Germany,Primary Market,True,3469,1466,647,185,76,51,15
2023-01-04,Netherlands,Primary Market,True,3935,1634,572,270,83,47,11
2023-01-04,England,Primary Market,True,2681,1391,398,165,70,44,9
2023-01-04,North America,Expansion Market,False,2318,1332,633,234,130,65,21
2023-01-04,Australia,Expansion Market,False,503,333,107,49,14,4,1
2023-01-04,Croatia,Primary Market,True,1493,783,347,105,38,21,5
2023-01-05,Germany,Primary Market,True,3655,1908,424,211,95,44,12
2023-01-05,Netherlands,Primary Market,True,1639,1034,381,166,79,52,13
2023-01-05,England,Primary Market,True,2283,1584,483,162,90,48,12
2023-01-05,North America,Expansion Market,False,3199,1976,562,186,99,45,21
