date,device,country,location_type,sessions,conversions,revenue,bounce_rate,avg_session_duration,mojo_integration
2023-01-01,Desktop,Germany,Primary Market,1760,83,9622.456704150505,0.6318293811718103,63.71858790651721,True
2023-01-01,Mobile,Germany,Primary Market,2534,67,5500.726831668529,0.5640534832252398,65.98441841318176,True
2023-01-01,Tablet,Germany,Primary Market,470,6,335.3439216884672,0.6866588183760008,213.13607968483512,True
2023-01-01,Desktop,Netherlands,Primary Market,2000,93,12757.136971517337,0.6206638389756531,131.14464728467144,True
2023-01-01,Mobile,Netherlands,Primary Market,3244,77,6698.2762762510065,0.36656420818482954,126.46433960195003,True
2023-01-01,Tablet,Netherlands,Primary Market,543,8,438.8708817104441,0.6380597868583705,268.6485750207462,True
2023-01-01,Desktop,England,Primary Market,1761,71,7628.220583629245,0.36856222937641053,99.42365508464577,True
2023-01-01,Mobile,England,Primary Market,2652,75,4824.955851644657,0.6062897938910439,200.34749318605705,True
2023-01-01,Tablet,England,Primary Market,502,8,557.6547386057941,0.6953297445326811,100.16710950450829,True
2023-01-01,Desktop,North America,Expansion Market,1784,76,9716.673963145744,0.4909968181326263,61.38142605796873,False
2023-01-01,Mobile,North America,Expansion Market,2849,61,4246.348732230377,0.6509653963257261,263.1383257050562,False
2023-01-01,Tablet,North America,Expansion Market,533,7,468.19712052282114,0.42849882866008543,170.61194820459684,False
2023-01-01,Desktop,Australia,Expansion Market,979,44,5402.136211253442,0.5068283698668334,276.4936835300811,False
2023-01-01,Mobile,Australia,Expansion Market,1553,31,2445.784605445357,0.6083884115111945,137.6112925049561,False
2023-01-01,Tablet,Australia,Expansion Market,256,3,196.03019182349703,0.5011540666165801,287.2370785582136,False
2023-01-01,Desktop,Croatia,Primary Market,1012,39,3934.561440046904,0.5616813296644219,78.8622648119174,True
2023-01-01,Mobile,Croatia,Primary Market,1707,47,3522.9444065812218,0.3796355752993142,185.25258771728775,True
2023-01-01,Tablet,Croatia,Primary Market,285,4,279.30733870144513,0.44788565212394843,152.23167345774178,True
2023-01-02,Desktop,Germany,Primary Market,1764,78,8666.365114078837,0.3170124981206749,243.5861636687677,True
2023-01-02,Mobile,Germany,Primary Market,2785,65,5611.195746932086,0.49821718693522726,204.87167253110294,True
2023-01-02,Tablet,Germany,Primary Market,503,6,335.02578596268904,0.6456938494100853,159.4583465200144,True
2023-01-02,Desktop,Netherlands,Primary Market,2141,106,13168.688579408126,0.542427425598764,117.38715471793773,True
2023-01-02,Mobile,Netherlands,Primary Market,3114,90,6476.597427313122,0.41231138076725515,107.2614348026396,True
2023-01-02,Tablet,Netherlands,Primary Market,565,7,366.67570877044403,0.6653364995454745,257.95925522911875,True
2023-01-02,Desktop,England,Primary Market,1592,85,9695.741370997523,0.4986053596591463,122.6500480135766,True
2023-01-02,Mobile,England,Primary Market,2450,56,4724.359277712259,0.3390025940536956,293.151718593826,True
2023-01-02,Tablet,England,Primary Market,465,7,470.74000054832493,0.4810964714492519,269.54196477166613,True
2023-01-02,Desktop,North America,Expansion Market,1052,43,4999.421673814681,0.6598031962248636,215.10891601133196,False
2023-01-02,Mobile,North America,Expansion Market,1811,50,4178.727622101144,0.3612101717022192,261.7247953986534,False
2023-01-02,Tablet,North America,Expansion Market,346,5,271.71439287443025,0.6624856694891993,202.48969710656016,False
2023-01-02,Desktop,Australia,Expansion Market,499,22,2265.5133033707625,0.38765686484931033,187.39580312586418,False
2023-01-02,Mobile,Australia,Expansion Market,708,15,974.7894850279253,0.41036325890907,172.28460492670473,False
2023-01-02,Tablet,Australia,Expansion Market,125,1,58.72854286054354,0.5075517835565616,197.44352444944877,False
2023-01-02,Desktop,Croatia,Primary Market,2188,113,15191.00835483511,0.35679444543332656,209.6154049740575,True
2023-01-02,Mobile,Croatia,Primary Market,3125,83,7069.932314615819,0.5242499560104281,94.53813164028459,True
2023-01-02,Tablet,Croatia,Primary Market,610,8,573.8237324880063,0.32506394472331696,139.37416290005984,True
2023-01-03,Desktop,Germany,Primary Market,1811,96,9521.558709295326,0.4974258761282822,148.9511589639194,True
2023-01-03,Mobile,Germany,Primary Market,3112,68,5090.863681875953,0.5904539353016631,264.0640707114775,True
2023-01-03,Tablet,Germany,Primary Market,505,7,370.61530376235135,0.49855181418742883,112.06864476680903,True
2023-01-03,Desktop,Netherlands,Primary Market,1455,67,7432.533537890655,0.3644711808053439,135.56972644859067,True
2023-01-03,Mobile,Netherlands,Primary Market,2666,58,4705.890420519165,0.40751969414433087,130.2737174226578,True
2023-01-03,Tablet,Netherlands,Primary Market,413,6,413.3203112815347,0.44805919401921845,165.49377199762694,True
2023-01-03,Desktop,England,Primary Market,1927,98,11559.055872955998,0.6003754134562207,250.42372887684596,True
2023-01-03,Mobile,England,Primary Market,3042,91,8537.53324137685,0.6430270386834505,150.34379870890274,True
2023-01-03,Tablet,England,Primary Market,581,8,564.4775072046474,0.4304508006820828,231.02001148974085,True
2023-01-03,Desktop,North America,Expansion Market,1714,69,6961.184456039373,0.40289454414044307,162.06765193011688,False
2023-01-03,Mobile,North America,Expansion Market,2760,73,6170.1310730744335,0.43472477715676106,278.7044514109773,False
2023-01-03,Tablet,North America,Expansion Market,507,8,479.10870385821363,0.6072957476475106,183.01210016422982,False
2023-01-03,Desktop,Australia,Expansion Market,1550,71,9319.655889950129,0.6131933859734149,284.6799245737624,False
