date,Keyword,Country,Interest
2024-06-16,event infrastructure rental,United States,0
2024-06-23,event infrastructure rental,United States,0
2024-06-30,event infrastructure rental,United States,0
2024-07-07,event infrastructure rental,United States,0
2024-07-14,event infrastructure rental,United States,0
2024-07-21,event infrastructure rental,United States,0
2024-07-28,event infrastructure rental,United States,0
2024-08-04,event infrastructure rental,United States,0
2024-08-11,event infrastructure rental,United States,0
2024-08-18,event infrastructure rental,United States,0
2024-08-25,event infrastructure rental,United States,0
2024-09-01,event infrastructure rental,United States,0
2024-09-08,event infrastructure rental,United States,0
2024-09-15,event infrastructure rental,United States,0
2024-09-22,event infrastructure rental,United States,0
2024-09-29,event infrastructure rental,United States,0
2024-10-06,event infrastructure rental,United States,0
2024-10-13,event infrastructure rental,United States,0
2024-10-20,event infrastructure rental,United States,0
2024-10-27,event infrastructure rental,United States,0
2024-11-03,event infrastructure rental,United States,0
2024-11-10,event infrastructure rental,United States,0
2024-11-17,event infrastructure rental,United States,0
2024-11-24,event infrastructure rental,United States,0
2024-12-01,event infrastructure rental,United States,0
2024-12-08,event infrastructure rental,United States,0
2024-12-15,event infrastructure rental,United States,0
2024-12-22,event infrastructure rental,United States,0
2024-12-29,event infrastructure rental,United States,0
2025-01-05,event infrastructure rental,United States,0
2025-01-12,event infrastructure rental,United States,0
2025-01-19,event infrastructure rental,United States,0
2025-01-26,event infrastructure rental,United States,0
2025-02-02,event infrastructure rental,United States,0
2025-02-09,event infrastructure rental,United States,0
2025-02-16,event infrastructure rental,United States,0
2025-02-23,event infrastructure rental,United States,0
2025-03-02,event infrastructure rental,United States,0
2025-03-09,event infrastructure rental,United States,0
2025-03-16,event infrastructure rental,United States,0
2025-03-23,event infrastructure rental,United States,0
2025-03-30,event infrastructure rental,United States,100
2025-04-06,event infrastructure rental,United States,0
2025-04-13,event infrastructure rental,United States,0
2025-04-20,event infrastructure rental,United States,0
2025-04-27,event infrastructure rental,United States,0
2025-05-04,event infrastructure rental,United States,0
2025-05-11,event infrastructure rental,United States,0
2025-05-18,event infrastructure rental,United States,0
2025-05-25,event infrastructure rental,United States,0
2025-06-01,event infrastructure rental,United States,0
