date,country,location_type,sessions,users,pageviews,revenue,organic_traffic,paid_traffic,sessions_ma_7d,sessions_ma_30d
2023-01-01,Australia,Expansion Market,1017,864,2522,30937.734563043443,452,565,,
2023-01-01,Croatia,Primary Market,1236,1063,1984,50335.25257654594,575,661,,
2023-01-01,England,Primary Market,1392,1135,2649,54292.454125182165,614,778,,
2023-01-01,Germany,Primary Market,3009,2386,6435,88970.87228153269,1566,1443,,
2023-01-01,Netherlands,Primary Market,1615,1340,3643,41427.17965011936,690,925,,
2023-01-01,North America,Expansion Market,2942,2268,6059,102737.6368434217,1410,1532,,
2023-01-02,Australia,Expansion Market,1660,1240,3265,42482.42942107295,893,767,,
2023-01-02,Croatia,Primary Market,1820,1473,4829,41694.46962574919,982,838,,
2023-01-02,England,Primary Market,542,459,1410,12196.381210936474,251,291,,
2023-01-02,Germany,Primary Market,1144,894,2460,25580.541935987814,576,568,,
2023-01-02,Netherlands,Primary Market,821,636,2091,25077.788361623174,379,442,,
2023-01-02,North America,Expansion Market,2106,1787,4615,63200.5683317317,1053,1053,,
2023-01-03,Australia,Expansion Market,981,775,2176,37147.57588233287,455,526,,
2023-01-03,Croatia,Primary Market,1647,1216,3816,41873.55250716809,759,888,,
2023-01-03,England,Primary Market,965,740,2249,13924.571841816196,465,500,,
2023-01-03,Germany,Primary Market,1632,1291,3458,63475.13566180139,842,790,,
2023-01-03,Netherlands,Primary Market,1148,929,2076,46739.61227170597,609,539,,
2023-01-03,North America,Expansion Market,1487,1212,3497,49061.465932438135,680,807,,
2023-01-04,Australia,Expansion Market,1423,1036,3302,58586.896044828725,786,637,,
2023-01-04,Croatia,Primary Market,1194,1009,2766,22244.239562132778,659,535,,
2023-01-04,England,Primary Market,246,180,536,5119.068515049635,136,110,,
2023-01-04,Germany,Primary Market,2749,2313,6286,78229.6838380429,1372,1377,,
2023-01-04,Netherlands,Primary Market,1370,1043,3090,23466.69440406149,680,690,,
2023-01-04,North America,Expansion Market,2205,1682,5209,71111.81951155062,1054,1151,,
2023-01-05,Australia,Expansion Market,1517,1298,3719,31772.995195849617,806,711,,
2023-01-05,Croatia,Primary Market,1046,784,2557,45740.32540874288,551,495,,
2023-01-05,England,Primary Market,510,387,985,20671.825031567943,283,227,,
2023-01-05,Germany,Primary Market,2107,1614,4225,45126.75617870844,1089,1018,,
2023-01-05,Netherlands,Primary Market,1461,1220,2839,28599.709639002507,792,669,,
2023-01-05,North America,Expansion Market,2038,1633,5206,59377.779538006675,991,1047,,
2023-01-06,Australia,Expansion Market,1693,1304,4482,55873.46111015302,786,907,,
2023-01-06,Croatia,Primary Market,1242,947,2493,44146.3468987017,587,655,,
2023-01-06,England,Primary Market,1337,1125,3120,38519.78300311547,675,662,,
2023-01-06,Germany,Primary Market,2181,1617,4337,54301.112288996395,966,1215,,
2023-01-06,Netherlands,Primary Market,1013,773,2562,41381.82952926512,544,469,,
2023-01-06,North America,Expansion Market,1320,1038,2479,48379.471461475914,597,723,,
2023-01-07,Australia,Expansion Market,2659,2135,5294,56768.97065216606,1116,1543,1564.2857142857142,
2023-01-07,Croatia,Primary Market,1726,1412,3962,41899.45946490908,778,948,1415.857142857143,
2023-01-07,England,Primary Market,1217,985,3004,35003.88571207761,639,578,887.0,
2023-01-07,Germany,Primary Market,2308,1943,5022,79312.36155446242,1219,1089,2161.4285714285716,
2023-01-07,Netherlands,Primary Market,1141,884,2696,26060.12856930418,620,521,1224.142857142857,
2023-01-07,North America,Expansion Market,1833,1491,4127,53095.22866544937,973,860,1990.142857142857,
2023-01-08,Australia,Expansion Market,1560,1234,3148,31865.224689775307,794,766,1641.857142857143,
2023-01-08,Croatia,Primary Market,1573,1279,3173,42517.489456200674,698,875,1464.0,
2023-01-08,England,Primary Market,1416,1115,2987,58585.43842204394,654,762,890.4285714285714,
2023-01-08,Germany,Primary Market,4689,3735,9422,116767.03830315838,2397,2292,2401.4285714285716,
2023-01-08,Netherlands,Primary Market,2003,1650,5670,53050.80815960856,953,1050,1279.5714285714287,
2023-01-08,North America,Expansion Market,2024,1603,4093,75341.37860654535,842,1182,1859.0,
2023-01-09,Australia,Expansion Market,1113,966,2542,42781.87989983502,461,652,1563.7142857142858,
2023-01-09,Croatia,Primary Market,1445,1176,2735,40710.832276398025,750,695,1410.4285714285713,
2023-01-09,England,Primary Market,985,810,2655,21853.589575551465,554,431,953.7142857142857,
2023-01-09,Germany,Primary Market,1753,1500,4452,69242.89479059716,836,917,2488.4285714285716,
2023-01-09,Netherlands,Primary Market,893,713,1831,28819.156276010664,443,450,1289.857142857143,
2023-01-09,North America,Expansion Market,1312,1105,2920,25259.46730867407,705,607,1745.5714285714287,
2023-01-10,Australia,Expansion Market,1431,1196,3522,51537.081913713075,680,751,1628.0,
2023-01-10,Croatia,Primary Market,1566,1318,3849,35116.329733568266,828,738,1398.857142857143,
2023-01-10,England,Primary Market,769,599,1258,28738.410374127274,403,366,925.7142857142857,
2023-01-10,Germany,Primary Market,1818,1493,3929,46836.93811574576,919,899,2515.0,
2023-01-10,Netherlands,Primary Market,1438,1080,3517,30143.61967941053,794,644,1331.2857142857142,
2023-01-10,North America,Expansion Market,1586,1276,3217,64183.92890399415,761,825,1759.7142857142858,
2023-01-11,Australia,Expansion Market,594,495,1280,22587.626670408274,273,321,1509.5714285714287,
2023-01-11,Croatia,Primary Market,1453,1159,3274,69476.65211263919,709,744,1435.857142857143,
2023-01-11,England,Primary Market,944,729,1951,39122.1884077827,519,425,1025.4285714285713,
2023-01-11,Germany,Primary Market,1564,1309,3897,39221.5669338189,726,838,2345.714285714286,
2023-01-11,Netherlands,Primary Market,1189,934,2513,33169.62794498322,617,572,1305.4285714285713,
2023-01-11,North America,Expansion Market,1899,1549,3675,51156.1428587506,1023,876,1716.0,
2023-01-12,Australia,Expansion Market,1425,1264,3022,48006.25975441559,686,739,1496.4285714285713,
2023-01-12,Croatia,Primary Market,1584,1253,3141,39557.39493463498,793,791,1512.7142857142858,
2023-01-12,England,Primary Market,1006,844,2542,23350.29251131561,528,478,1096.2857142857142,
